{'kernel': 'rbf', 'degree': 2, 'gamma': 0.76, 'coef0': 0.36, 'C': 56, 'epsilon': 0.16, 'rsme': 7.0878856515791}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.35, 'coef0': 0.67, 'C': 21, 'epsilon': 0.26, 'rsme': 8.049370461029431}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.6, 'coef0': 0.78, 'C': 45, 'epsilon': 0.35, 'rsme': 8.767289022627908}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.8, 'coef0': 0.65, 'C': 65, 'epsilon': 0.26, 'rsme': 7.760879465674572}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.21, 'coef0': 0.76, 'C': 60, 'epsilon': 0.48, 'rsme': 12.605488042745742}
{'kernel': 'rbf', 'degree': 3, 'gamma': 0.27, 'coef0': 0.94, 'C': 46, 'epsilon': 0.38, 'rsme': 8.535660239112412}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.71, 'coef0': 0.78, 'C': 83, 'epsilon': 0.26, 'rsme': 8363.860772790878}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.23, 'coef0': 0.45, 'C': 25, 'epsilon': 0.45, 'rsme': 11.705796944156065}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.97, 'coef0': 0.41, 'C': 43, 'epsilon': 0.39, 'rsme': 8.495341410362075}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.69, 'coef0': 0.23, 'C': 23, 'epsilon': 0.12, 'rsme': 7.148007625843169}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.14, 'coef0': 0.78, 'C': 40, 'epsilon': 0.22, 'rsme': 7.787798526752847}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.48, 'coef0': 0.91, 'C': 25, 'epsilon': 0.27, 'rsme': 8.04113144437085}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.85, 'coef0': 0.61, 'C': 68, 'epsilon': 0.25, 'rsme': 10076.024313198643}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.38, 'coef0': 0.53, 'C': 74, 'epsilon': 0.43, 'rsme': 2092.1373023796996}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.11, 'coef0': 0.9, 'C': 97, 'epsilon': 0.38, 'rsme': 9.100919983056208}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.26, 'coef0': 0.29, 'C': 33, 'epsilon': 0.21, 'rsme': 7.486956180673313}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.16, 'coef0': 0.73, 'C': 10, 'epsilon': 0.31, 'rsme': 7.897160399259588}
{'kernel': 'linear', 'degree': 4, 'gamma': 0.63, 'coef0': 0.79, 'C': 64, 'epsilon': 0.31, 'rsme': 8.330846239576987}
{'kernel': 'sigmoid', 'degree': 4, 'gamma': 0.15, 'coef0': 0.14, 'C': 23, 'epsilon': 0.13, 'rsme': 24.27767461364121}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.48, 'coef0': 0.39, 'C': 41, 'epsilon': 0.14, 'rsme': 7.106236542991793}
{'kernel': 'linear', 'degree': 3, 'gamma': 0.84, 'coef0': 0.76, 'C': 82, 'epsilon': 0.1, 'rsme': 7.337653674811224}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.33, 'coef0': 0.56, 'C': 1, 'epsilon': 0.29, 'rsme': 8.200872728718686}
{'kernel': 'poly', 'degree': 3, 'gamma': 0.92, 'coef0': 0.56, 'C': 88, 'epsilon': 0.36, 'rsme': 8.356214961885474}
{'kernel': 'linear', 'degree': 2, 'gamma': 0.53, 'coef0': 0.4, 'C': 78, 'epsilon': 0.48, 'rsme': 11.342775418957356}
{'kernel': 'rbf', 'degree': 4, 'gamma': 0.31, 'coef0': 0.82, 'C': 45, 'epsilon': 0.24, 'rsme': 7.566996316341191}
{'kernel': 'rbf', 'degree': 2, 'gamma': 0.19, 'coef0': 0.48, 'C': 69, 'epsilon': 0.22, 'rsme': 7.5258046208286125}
{'kernel': 'poly', 'degree': 4, 'gamma': 0.61, 'coef0': 0.18, 'C': 56, 'epsilon': 0.13, 'rsme': 7.058446235293884}
{'kernel': 'sigmoid', 'degree': 2, 'gamma': 0.67, 'coef0': 0.53, 'C': 10, 'epsilon': 0.42, 'rsme': 888.6360220861204}
{'kernel': 'poly', 'degree': 2, 'gamma': 0.39, 'coef0': 0.26, 'C': 40, 'epsilon': 0.47, 'rsme': 12.297355017113583}
