,criterion,splitter,max_depth,max_features,rsme
125,mae,random,,0.23,0.10509026752480544
126,mae,best,6.0,0.6,0.0973363195713022
127,mae,best,8.0,0.11,0.09686578578824659
128,friedman_mse,random,3.0,0.56,0.09999408494562
129,friedman_mse,random,9.0,0.73,0.09701371944510893
130,mse,best,2.0,0.41,0.09685383273343046
131,mse,best,4.0,0.97,0.09746297773736706
132,mse,best,7.0,0.99,0.09966957115266839
133,mse,best,,0.65,0.1003726811022268
134,mse,random,1.0,0.21,0.09563464358153047
135,friedman_mse,random,,0.28,0.20265880402318215
136,mse,best,7.0,0.78,0.10683001121269896
137,mse,random,8.0,0.37,0.09900981062789697
138,mse,best,1.0,0.11,0.09678621188789763
139,mse,random,8.0,0.87,0.10115481726280895
140,mae,best,9.0,0.75,0.09742857018885023
141,mae,random,8.0,0.44,0.09994101491554003
142,mae,best,6.0,0.76,0.10367238200740335
143,mae,best,7.0,0.51,0.09810389990065986
144,friedman_mse,random,,0.54,0.09478931992716222
145,friedman_mse,best,1.0,0.73,0.09596441056692608
146,friedman_mse,best,4.0,0.32,0.09542755097354394
147,mae,best,3.0,0.71,0.09739775393591031
148,mae,random,4.0,0.87,0.11059231220773992
149,mse,best,4.0,0.79,0.09509780907205688
150,friedman_mse,best,2.0,0.85,0.09970469804861416
151,mse,random,8.0,0.37,0.1030922918090944
152,mae,random,1.0,0.76,0.09582636174921924
153,mae,best,5.0,0.63,0.10374292500511721
154,mse,random,8.0,0.9,0.10248640768327712
155,mse,best,4.0,0.29,0.09522709415908175
156,mse,best,4.0,0.74,0.09654903312238286
157,friedman_mse,random,,0.2,0.09782957361466836
158,mse,best,8.0,0.76,0.11417721420527652
159,mae,random,4.0,0.8,0.09576351250827309
160,mae,best,1.0,0.13,0.09672198044087374
161,mse,best,3.0,0.54,0.09603544339925094
162,mae,best,9.0,0.8,0.0976293618676675
163,friedman_mse,best,4.0,0.95,0.09701833766732967
164,mae,random,2.0,0.86,0.09666503242724639
165,mse,best,9.0,0.45,0.09757770927265132
166,mae,best,5.0,0.73,0.11532100338816118
167,friedman_mse,best,7.0,0.52,0.09995033455538048
168,mse,random,1.0,0.62,0.09593155877389888
169,mae,random,8.0,0.7,0.11716147561991366
170,friedman_mse,best,9.0,0.19,0.09958932214251937
171,friedman_mse,random,5.0,0.47,0.09839130361508065
172,mae,random,6.0,0.73,0.09466753253582325
173,mae,random,1.0,0.1,0.09694875057731697
174,mae,random,2.0,0.19,0.0949874382562969
175,mae,random,6.0,0.66,0.09808185116284036
176,mae,random,,0.9,0.16443857986068303
177,friedman_mse,random,3.0,0.25,0.09613461450348272
178,mae,best,7.0,0.35,0.09524402311080088
179,mae,random,3.0,0.14,0.09549433550316101
180,mae,best,6.0,0.68,0.09606318563499458
181,mae,random,,0.17,0.2953637399952922
182,mse,random,,0.55,0.10853554345772014
183,friedman_mse,best,8.0,0.83,0.10248453755671806
184,mse,best,,0.22,0.10383830523466003
185,friedman_mse,random,9.0,0.22,0.09651078172451773
