,criterion,max_depth,n_estimators,random_state,rsme
146,mse,6.0,15,72,0.10388102976981808
147,mse,9.0,91,82,0.2336729850236521
148,mse,9.0,70,66,0.09882718794619744
149,mae,2.0,72,81,0.09638404008534748
150,mse,1.0,63,59,0.09672247579233904
151,mae,8.0,70,98,0.09879070713688556
152,mse,2.0,85,24,0.10641468388735995
153,mae,9.0,96,18,0.09948764048186969
154,mae,9.0,81,16,0.09897531255249817
155,mae,6.0,24,79,0.10742955275562388
156,mae,7.0,35,22,0.10051473245292572
157,mae,3.0,92,52,0.09766641798348565
158,mse,6.0,13,93,0.1286924454820945
159,mae,,87,17,0.0973209184727972
160,mae,7.0,30,39,0.09544468394994723
161,mse,2.0,73,86,0.153918100859474
162,mae,3.0,11,71,0.09693857288865028
163,mae,4.0,85,16,0.10030204175792398
164,mae,2.0,66,30,0.09741215485876305
165,mse,5.0,34,70,0.11263765455959837
166,mse,1.0,51,66,0.09877538904359905
167,mae,7.0,57,12,0.09712538604520476
168,mae,4.0,49,62,0.09907825560241129
169,mae,7.0,11,54,0.10044787473771143
170,mae,3.0,75,97,0.10111183831790503
171,mse,7.0,28,74,0.09785800098381248
172,mae,9.0,32,48,0.09957834185181992
173,mae,4.0,58,31,0.09627473178512345
174,mae,8.0,15,94,0.09604330874683868
175,mae,1.0,13,12,0.09696724824840855
176,mse,6.0,40,79,0.10424387625729194
177,mae,8.0,74,95,0.09852142302083644
178,mse,6.0,69,69,0.12070614540278943
179,mae,1.0,42,13,0.09679190842625585
180,mae,8.0,91,17,0.09724353164172468
181,mae,1.0,57,22,0.09874268902908782
182,mse,1.0,13,97,0.09748668639089007
183,mae,2.0,17,78,0.09744608231004197
184,mae,8.0,15,83,0.09870993449224041
185,mse,2.0,79,56,0.09675076771154993
186,mse,2.0,58,91,0.09676660930820277
187,mae,3.0,88,91,0.09712872795646485
188,mse,2.0,66,47,0.09636392213185771
189,mae,4.0,98,61,0.09629077569634194
190,mae,9.0,60,49,0.18468126340297714
191,mse,6.0,75,57,0.0957113396828113
192,mae,1.0,79,89,0.09699364997947489
193,mae,7.0,57,10,0.09841406828716903
194,mae,3.0,33,23,0.09967901540205068
195,mse,2.0,82,84,0.09990116988863547
196,mae,,41,77,0.09566351985463542
197,mae,5.0,48,25,0.09759272361329387
198,mse,,98,92,0.09636894286759941
199,mse,8.0,63,89,0.10052587647818614
200,mae,,66,97,0.0993084721831483
201,mse,5.0,14,23,0.09646665052980531
202,mse,3.0,41,71,0.09752668117590736
203,mae,3.0,19,47,0.09691014081004454
204,mae,7.0,32,70,0.10215955923380825
205,mae,,38,17,0.10183270792709644
206,mse,5.0,29,78,0.10020294921125872
207,mae,7.0,70,61,0.09726078695936961
208,mse,6.0,19,61,0.10944776163726629
209,mse,7.0,14,81,0.16645592493495015
210,mae,5.0,11,77,0.09632315040347071
211,mse,8.0,26,80,0.09626870359990776
212,mae,6.0,11,52,0.09793497170330387
213,mse,4.0,40,85,0.09645330067121367
214,mse,6.0,76,89,0.11969648134153571
215,mae,4.0,24,53,0.09601105919785377
216,mse,2.0,10,65,0.09678394157346103
217,mse,8.0,49,37,0.1375157202679664
218,mse,7.0,35,46,0.09694073613118125
219,mse,5.0,40,83,0.0993690836684857
220,mae,9.0,35,41,0.09814232153528957
221,mae,7.0,46,92,0.10142178947473007
222,mae,1.0,39,28,0.09687039960284007
223,mae,,75,55,0.09964443427238871
224,mse,7.0,12,64,0.09581902842885247
225,mae,5.0,84,47,0.1058124754973342
226,mae,,26,62,0.09718189876984192
227,mse,5.0,36,84,0.09570485571965137
228,mae,1.0,85,97,0.09884778596564119
229,mae,7.0,16,99,0.13662296635234927
230,mse,1.0,43,51,0.0983000075716371
231,mae,7.0,39,87,0.12845079621934433
232,mse,4.0,44,63,0.09665500973899507
233,mae,2.0,72,91,0.09721253571006633
234,mse,6.0,40,50,0.11306828437772605
235,mse,3.0,60,78,0.11197421146638607
236,mse,9.0,20,98,0.09786792778122651
237,mse,2.0,85,17,0.0978947815122323
238,mse,8.0,50,94,0.11754895670113508
239,mae,5.0,54,92,0.10511949989058986
240,mse,2.0,23,69,0.09734515194142632
241,mse,5.0,80,83,0.11166151882155724
242,mse,,80,81,0.16786370724765806
243,mae,8.0,26,60,0.1093758985832972
244,mae,9.0,67,38,0.09752325408347358
245,mse,4.0,54,94,0.09713868358745405
246,mae,1.0,61,57,0.09739368507009873
247,mse,3.0,81,94,0.0992628303847496
248,mae,,33,12,0.09662530715105548
249,mae,,12,33,0.09992925226316658
250,mse,4.0,65,91,0.09602090274934491
251,mse,3.0,36,47,0.14000753569483174
252,mae,2.0,91,78,0.11018998172209578
253,mae,9.0,47,61,0.09683093732445652
254,mse,6.0,43,16,0.11019279034920584
255,mse,4.0,65,53,0.09690752612555116
256,mse,4.0,32,20,0.0961869988788003
257,mae,,64,95,0.09696490704249604
258,mse,1.0,39,62,0.09791155079907672
259,mae,9.0,84,47,0.10518121655416486
260,mae,1.0,92,38,0.09766523037077787
261,mse,7.0,75,26,0.09583116087207597
262,mse,,17,82,0.1098519815686504
263,mae,2.0,76,13,0.11509428155910906
264,mae,6.0,85,89,0.09628730988036047
265,mse,2.0,17,56,0.09658975528012259
266,mse,8.0,43,70,0.09669695795266582
267,mse,3.0,62,47,0.09544225941680713
268,mae,3.0,14,82,0.10032060799351562
269,mse,9.0,51,37,0.09846671243937424
270,mae,1.0,89,47,0.0988685061631647
271,mse,7.0,34,88,0.16996595403800976
272,mse,7.0,21,26,0.0976878054835815
273,mse,4.0,83,94,0.09864195929385862
274,mae,6.0,34,72,0.09696554283241582
275,mse,6.0,17,35,0.09782073249310898
276,mae,9.0,65,20,0.09660198967630718
277,mse,9.0,16,24,0.10874816950029494
278,mse,1.0,66,25,0.09456892757508435
279,mae,4.0,35,95,0.1059162218606715
280,mae,6.0,20,86,0.0984744757724391
281,mse,7.0,67,21,0.09971562078381793
282,mae,2.0,70,86,0.09789749987207101
283,mae,6.0,16,12,0.09964493324487878
284,mae,5.0,92,38,0.09572050555569672
285,mae,,94,92,0.09693752748331935
286,mae,4.0,52,22,0.09868828246325663
287,mae,4.0,53,18,0.09709403254338808
288,mae,,79,73,0.09636201826892901
289,mse,3.0,99,90,0.09682262892956647
290,mae,2.0,74,29,0.10547391716033436
291,mse,2.0,36,61,0.09639256204428055
292,mse,7.0,80,50,0.0958271123401508
293,mae,3.0,26,93,0.09630055802002757
294,mae,,79,44,0.10079625672912312
295,mae,2.0,79,76,0.09716948937493088
296,mae,3.0,62,87,0.09874899948194349
297,mae,3.0,93,50,0.09666585864918258
298,mse,1.0,84,63,0.0950834184988247
299,mse,9.0,85,55,0.09692677272730728
300,mae,1.0,84,69,0.09861385063199782
301,mse,1.0,60,42,0.09595952926576339
302,mae,3.0,55,40,0.11133136097617813
303,mse,2.0,43,50,0.0973836594567406
304,mse,4.0,54,50,0.10215288221109162
305,mse,,14,29,0.10933261328794706
306,mae,2.0,48,53,0.10005576608053021
307,mae,8.0,85,80,0.12225966195674806
308,mse,4.0,82,60,0.09576350655624391
309,mae,5.0,30,90,0.09588953152148899
310,mae,2.0,15,32,0.09740780136223808
311,mse,4.0,57,36,0.10816404798000298
312,mae,3.0,75,96,0.09742180310781802
313,mse,4.0,33,85,0.09800709721320786
314,mse,8.0,56,28,0.09443763073990451
315,mae,,55,97,0.1005629144350006
316,mse,9.0,65,53,0.09970164176688262
317,mse,8.0,42,19,0.0947644563414341
318,mae,2.0,42,24,0.09679105634687268
319,mae,2.0,77,94,0.09714490452592607
320,mae,7.0,68,82,0.09630281711491816
321,mae,3.0,50,86,0.099329391846652
322,mae,1.0,26,89,0.09856797670069663
323,mae,1.0,56,94,0.09719678714498119
324,mae,2.0,19,79,0.09640051115692454
325,mse,1.0,39,60,0.09649779660643783
326,mse,,31,86,0.10281615558645278
327,mae,7.0,89,48,0.09968669769515796
328,mse,,88,36,0.11479259025741129
329,mae,4.0,74,89,0.09866415294851599
330,mse,8.0,30,69,0.09750938516777499
331,mse,4.0,44,13,0.0963049528449664
332,mse,2.0,19,36,0.09730018302371155
333,mse,6.0,60,45,0.09642395161884224
334,mse,7.0,66,57,0.0981305458991581
335,mae,4.0,58,98,0.09592401081953103
336,mse,9.0,34,86,0.09825805919280296
337,mse,2.0,69,32,0.09589071588383916
338,mae,6.0,17,93,0.09850144588049589
339,mse,6.0,51,31,0.10016075184734867
340,mae,6.0,69,99,0.09744566173697713
341,mae,4.0,58,99,0.09787241343397345
342,mae,5.0,60,76,0.09549065652387226
343,mae,4.0,57,82,0.10058631038465621
344,mae,2.0,51,67,0.10096781419782853
345,mae,7.0,45,43,0.09621286767531474
346,mse,9.0,61,21,0.10017799453487808
347,mae,8.0,16,27,0.09811823784733623
348,mae,6.0,94,29,0.10303938717719821
349,mse,7.0,54,64,0.09786461933961804
350,mse,2.0,60,47,0.09677611395152985
351,mse,,47,84,0.1140631669082625
352,mse,9.0,81,22,0.09929190004764965
353,mae,2.0,23,86,0.09658584252442245
354,mae,1.0,13,77,0.09744671336362329
355,mse,3.0,88,11,0.1023686247764265
356,mse,,75,92,0.14843749109131602
357,mse,6.0,39,51,0.09758857522160294
358,mae,4.0,14,64,0.09857937452865427
359,mae,3.0,39,30,0.09755529723661324
360,mae,1.0,26,46,0.09670035417609318
361,mse,4.0,72,99,0.096060767984506
362,mse,5.0,98,74,0.09720061106902084
363,mse,9.0,37,17,0.1032024658531058
364,mae,7.0,15,89,0.09836749785077473
365,mse,,45,60,0.1028041523545864
366,mae,4.0,97,51,0.09840855075534224
367,mae,6.0,84,56,0.10107282238492303
368,mae,4.0,19,90,0.09746372180469114
369,mae,2.0,20,42,0.098144773451063
370,mse,6.0,92,49,0.11157241021178621
371,mse,6.0,50,49,0.10303492668549782
372,mse,8.0,11,43,0.09704880864113787
373,mse,1.0,51,54,0.09656588579911655
374,mae,,21,99,0.09625833694995863
375,mse,4.0,46,69,0.09626844206551866
