,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
0,mse,3.0,log2,0.44,57,47,0.09537033863430223
1,mae,4.0,sqrt,0.93,97,88,0.09658571830239478
2,mae,3.0,sqrt,0.26,38,91,0.09700765915528746
3,mae,3.0,sqrt,0.65,66,76,0.09678484496393099
4,mse,3.0,auto,0.58,68,15,0.0966724971185505
5,mse,2.0,auto,0.33,38,49,0.09672735562232458
6,mse,2.0,auto,0.39,11,36,0.0968687617520093
7,mae,4.0,log2,0.19,12,85,0.09596682816565033
8,mse,,log2,0.7,83,79,0.09619258635700537
9,mse,2.0,sqrt,0.74,12,63,0.0958778716386609
10,mae,3.0,auto,0.54,46,29,0.09665273905954117
11,mae,3.0,log2,0.3,89,35,0.09596628009566381
12,mae,2.0,sqrt,0.69,26,43,0.09583547999009336
13,mse,,auto,0.26,50,34,0.09638102195169365
14,mae,4.0,sqrt,0.72,29,62,0.09624378813605725
15,mae,4.0,auto,0.63,61,57,0.09656653821107353
16,mse,4.0,sqrt,0.72,27,88,0.09644068199739834
17,mae,1.0,sqrt,0.18,49,23,0.09608190832955141
18,mae,2.0,log2,0.7,16,23,0.09675611867913926
19,mae,,log2,0.5,65,64,0.09652917832708047
20,mse,3.0,log2,0.72,66,89,0.09564566955709718
21,mse,3.0,auto,0.92,85,49,0.09663912344514157
22,mae,2.0,sqrt,0.44,37,59,0.09490800718219376
23,mae,4.0,auto,0.46,40,29,0.09748981857796064
24,mse,1.0,auto,0.34,63,73,0.09665798777710775
25,mae,,sqrt,0.9,38,40,0.09677860164947111
26,mae,,sqrt,0.15,57,71,0.09535648421309616
27,mae,1.0,sqrt,0.46,54,56,0.09629035809611523
28,mae,2.0,log2,0.71,46,93,0.09697406299166766
29,mse,3.0,auto,0.15,79,40,0.09576414329379364
30,mae,3.0,log2,0.65,15,69,0.09544596766296737
31,mae,3.0,auto,0.84,44,57,0.0966540605128589
32,mse,1.0,log2,0.1,29,33,0.09549457430173405
33,mae,4.0,sqrt,0.63,66,17,0.09661545241570144
34,mse,1.0,sqrt,0.9,35,28,0.09625127607041419
35,mae,4.0,auto,0.91,22,45,0.09571217472038243
36,mse,2.0,log2,0.72,37,58,0.09666379337557314
37,mse,4.0,auto,0.44,96,43,0.09513411184451866
38,mae,1.0,log2,0.29,77,17,0.09563404013071668
39,mae,4.0,sqrt,0.97,19,56,0.09456347972026768
40,mae,2.0,log2,0.83,69,56,0.09699207343763291
41,mse,3.0,auto,0.18,76,29,0.09645540641373822
42,mae,4.0,sqrt,0.97,21,15,0.09456426112451828
43,mae,4.0,auto,0.2,76,33,0.09544762735497901
44,mae,1.0,auto,0.77,17,46,0.09588194192826717
45,mse,4.0,auto,0.78,84,84,0.09577695793639299
46,mae,2.0,sqrt,0.81,42,85,0.09642605405544626
47,mae,3.0,log2,0.16,79,67,0.09615979428654524
48,mae,4.0,auto,0.93,53,26,0.09714780959326828
49,mae,,log2,0.54,26,37,0.0977079637628559
50,mae,1.0,sqrt,0.5,42,38,0.09682719608301003
51,mae,2.0,log2,0.81,23,68,0.0952844779249445
52,mae,,auto,0.65,98,36,0.09680822468446275
53,mae,4.0,auto,0.4,10,33,0.09540443741154311
54,mse,,auto,0.98,49,39,0.09445829311446094
55,mae,2.0,auto,0.69,58,46,0.0952270329217068
56,mae,,sqrt,0.89,74,49,0.09687642872147517
57,mae,1.0,log2,0.96,30,67,0.09881511684805347
58,mse,,auto,0.64,28,94,0.09717927677721384
59,mse,1.0,log2,0.88,90,12,0.09654000268910008
60,mse,3.0,auto,0.5,15,33,0.09600370392251469
61,mse,4.0,sqrt,0.5,73,17,0.09506524631926372
62,mse,4.0,sqrt,0.65,24,99,0.09526870087186373
63,mse,1.0,auto,0.32,73,62,0.09633685088113735
64,mae,,auto,0.54,60,26,0.09670369865493138
65,mae,1.0,sqrt,0.3,17,84,0.0959119304474673
66,mse,4.0,sqrt,0.17,78,61,0.0957604114937045
67,mse,2.0,sqrt,0.91,62,41,0.09676472204093965
68,mse,3.0,sqrt,0.2,17,17,0.0965053000938827
69,mse,2.0,log2,0.21,40,88,0.09673009447509201
70,mse,3.0,sqrt,0.91,14,80,0.0946191862733285
71,mse,2.0,sqrt,0.88,23,11,0.09641709510617037
72,mse,1.0,sqrt,0.75,25,35,0.09677904818786776
73,mae,3.0,sqrt,0.51,45,89,0.09699433842994616
74,mae,4.0,auto,0.58,61,32,0.09596838651499193
75,mae,3.0,auto,0.82,41,94,0.09638612840505235
76,mse,,sqrt,0.89,80,92,0.09641172343755326
77,mae,2.0,sqrt,0.47,77,35,0.09801718851841534
78,mae,3.0,auto,0.76,29,17,0.09570664302695615
79,mse,1.0,log2,0.66,11,15,0.09567679493088987
80,mae,1.0,sqrt,0.48,17,17,0.09716978287232524
81,mae,2.0,auto,0.48,13,39,0.09685690783124748
82,mae,2.0,sqrt,0.98,24,31,0.09780438803926443
83,mae,,sqrt,0.1,39,75,0.0963529917324796
84,mse,,auto,0.56,47,83,0.0957781248022988
85,mse,2.0,sqrt,0.87,54,12,0.09590717857296661
86,mse,,log2,0.15,47,75,0.0964534928898851
87,mae,3.0,auto,0.82,47,89,0.09548905001965148
88,mae,2.0,sqrt,0.67,85,66,0.0968608086022891
89,mse,4.0,auto,0.79,48,92,0.0977927170180223
90,mae,4.0,sqrt,0.71,84,39,0.09588964912082852
91,mse,4.0,sqrt,0.18,61,58,0.0960259838942965
92,mse,3.0,sqrt,0.64,80,41,0.0961287214345914
93,mse,3.0,sqrt,0.24,79,83,0.09663093234165761
94,mse,,auto,0.38,12,70,0.09609512592262849
95,mse,,sqrt,0.35,34,80,0.09513263419656744
96,mse,2.0,auto,0.91,19,70,0.09555474728656597
97,mse,2.0,log2,0.86,23,39,0.09468249927736094
98,mse,1.0,sqrt,0.98,71,14,0.0967518834449629
99,mse,1.0,sqrt,0.57,87,79,0.0961035803384489
100,mse,2.0,log2,0.57,61,40,0.0954114653623118
101,mae,,auto,0.47,24,92,0.09454376332484069
102,mae,4.0,sqrt,0.3,24,86,0.09698451982750961
103,mae,,log2,0.55,68,66,0.09765359563317591
104,mse,2.0,sqrt,0.61,24,77,0.09595180405783328
105,mae,,auto,0.43,57,60,0.09566416552790354
106,mae,4.0,sqrt,0.5,43,22,0.09685101659874744
107,mse,,sqrt,0.51,36,97,0.09566998343721392
108,mse,,sqrt,0.48,44,37,0.09616298795618648
109,mse,,sqrt,0.63,52,17,0.09554244495816852
110,mae,,auto,0.33,13,64,0.09709954402890282
111,mae,3.0,log2,0.1,98,35,0.09649384237730789
112,mae,,log2,0.77,41,47,0.09631204430253477
113,mse,1.0,sqrt,0.7,89,90,0.09660780568751969
114,mse,4.0,sqrt,0.74,67,43,0.09549635008743655
115,mae,4.0,sqrt,0.78,50,90,0.09602080362641695
116,mae,4.0,auto,0.6,67,68,0.0968911969381922
117,mse,3.0,log2,0.9,21,31,0.09664822239605844
118,mse,,log2,0.76,80,18,0.09540445556238236
119,mse,1.0,sqrt,0.33,44,13,0.0973134651637212
120,mse,2.0,auto,0.64,11,56,0.09557023343023367
121,mse,1.0,auto,0.43,33,84,0.0971268389487342
122,mse,2.0,auto,0.75,33,47,0.09753371147190985
123,mae,1.0,auto,0.46,43,63,0.09522732323312365
124,mae,1.0,log2,0.54,72,76,0.09556511142176252
125,mae,1.0,auto,0.17,91,44,0.09714083237778828
126,mae,,sqrt,0.78,83,19,0.09614587408939511
127,mae,,sqrt,0.23,39,44,0.09616089164707121
128,mae,3.0,sqrt,0.81,64,29,0.09621231435037741
129,mae,2.0,sqrt,0.95,29,78,0.0964461964899885
130,mae,4.0,auto,0.91,18,60,0.09623110856435547
131,mse,2.0,auto,0.56,40,83,0.09480051423046948
132,mae,2.0,log2,0.8,30,59,0.0974535715144591
133,mae,3.0,auto,0.47,42,60,0.09590361849302964
134,mse,,log2,0.92,92,45,0.09588613596934856
135,mse,1.0,auto,0.42,67,16,0.09656870346755395
136,mae,3.0,sqrt,0.39,28,22,0.09662651416532239
137,mse,1.0,log2,0.38,15,31,0.09675542432206229
138,mae,3.0,log2,0.29,77,44,0.09596308283222335
139,mse,1.0,log2,0.73,58,80,0.0954977569874069
140,mse,3.0,sqrt,0.34,75,91,0.09816970235690776
141,mse,2.0,log2,0.77,88,48,0.09670745457443224
142,mae,,log2,0.92,16,44,0.09693374828758959
143,mse,4.0,auto,0.36,50,52,0.09666564377850195
144,mse,4.0,sqrt,0.42,11,43,0.0954114110147831
145,mse,,log2,0.47,19,18,0.0937358169057783
146,mse,3.0,sqrt,0.8,17,57,0.09652471438682263
147,mae,,sqrt,0.6,37,42,0.09667869661341834
148,mse,2.0,log2,0.81,67,89,0.09589823252670807
149,mae,2.0,sqrt,0.18,82,89,0.09704493158735861
150,mae,1.0,sqrt,0.24,31,88,0.09621410423333673
151,mse,2.0,auto,0.45,16,75,0.09663295489497357
152,mae,3.0,sqrt,0.91,73,28,0.09630345727480524
153,mse,2.0,auto,0.93,25,71,0.09554156376160329
