,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
154,mse,4.0,log2,0.2,88,66,0.09570028637234447
155,mae,4.0,auto,0.15,32,46,0.09587669693050942
156,mae,1.0,auto,0.64,56,88,0.09621204245924203
157,mae,4.0,auto,0.85,93,94,0.09553347869575496
158,mae,2.0,auto,0.58,72,86,0.09640586229775493
159,mse,,log2,0.79,19,27,0.09683244465327177
160,mae,3.0,auto,0.7,13,14,0.09812422200154974
161,mse,2.0,sqrt,0.14,87,29,0.09721239661262757
162,mae,3.0,sqrt,0.91,54,27,0.09673722305402332
163,mae,1.0,auto,0.51,96,53,0.09571722593297999
164,mse,,auto,0.22,13,49,0.09614462160789479
165,mae,1.0,auto,0.9,84,12,0.0976712790981558
166,mse,,sqrt,0.3,53,12,0.09598557861018647
167,mae,4.0,sqrt,0.67,55,64,0.0956014247551568
168,mae,1.0,sqrt,0.47,46,59,0.09676661242243113
169,mae,,log2,0.82,95,63,0.09649207616892813
170,mse,,sqrt,0.54,52,29,0.09626850172386806
171,mae,3.0,sqrt,0.43,55,20,0.09663509443819966
172,mae,,log2,0.68,38,64,0.09717272620137385
173,mae,,sqrt,0.71,92,71,0.09518303943114326
174,mse,1.0,log2,0.41,21,98,0.09653344401413724
175,mse,1.0,auto,0.45,92,59,0.09629253262268216
176,mae,1.0,auto,0.77,32,74,0.0965409521438202
177,mae,2.0,auto,0.24,46,17,0.09683881411000586
178,mse,1.0,log2,0.65,67,32,0.0967208753919777
179,mse,1.0,sqrt,0.55,18,30,0.09591269547534512
180,mae,3.0,sqrt,0.87,50,48,0.09668852750325731
181,mse,3.0,log2,0.98,43,24,0.09625840013326042
182,mse,2.0,auto,0.31,86,18,0.09640376276343159
183,mae,1.0,sqrt,0.49,60,34,0.0969863910990457
184,mae,1.0,sqrt,0.89,93,42,0.09660203295084131
185,mae,,auto,0.46,99,68,0.0948458722291631
186,mse,,log2,0.24,90,15,0.09687761506095331
187,mae,1.0,auto,0.12,29,31,0.095416220134989
188,mse,,auto,0.24,46,95,0.09721142353414258
189,mae,1.0,sqrt,0.93,52,12,0.0954263462740645
190,mae,3.0,sqrt,0.99,10,33,0.09752741882390004
191,mse,4.0,sqrt,0.23,84,74,0.09433335239376135
192,mae,4.0,log2,0.46,21,89,0.09636788523170649
193,mse,4.0,log2,0.11,13,22,0.09528186520676303
194,mse,3.0,sqrt,0.47,21,54,0.09751597813150571
195,mae,4.0,log2,0.74,50,84,0.09576810836983701
196,mse,,auto,0.24,98,47,0.09540765231419912
197,mse,2.0,auto,0.78,81,44,0.09731644797740159
198,mse,2.0,log2,0.33,21,12,0.09599520140519406
199,mae,4.0,auto,0.67,75,31,0.09722109970506515
200,mse,2.0,auto,0.71,98,34,0.0954268118843688
201,mse,3.0,log2,0.3,64,82,0.09617282333313347
202,mse,1.0,auto,0.12,80,42,0.09644803738437202
203,mse,4.0,sqrt,0.13,90,96,0.09555172754514107
204,mse,3.0,sqrt,0.11,38,78,0.09662763022717107
205,mse,,auto,0.89,96,81,0.09498267602810057
206,mae,1.0,log2,0.1,20,41,0.09668514352125414
207,mse,3.0,auto,0.72,10,84,0.09562706895779838
208,mse,4.0,auto,0.79,98,23,0.0968344826845702
209,mse,4.0,sqrt,0.17,47,18,0.0969929807999452
210,mse,4.0,sqrt,0.86,16,24,0.09616838020740535
211,mae,4.0,auto,0.98,42,71,0.09802649695539667
212,mae,3.0,sqrt,0.32,72,28,0.09476506422218811
213,mse,4.0,log2,0.89,98,73,0.09540859734620573
214,mae,,log2,0.51,91,56,0.09632763159373563
215,mae,4.0,log2,0.47,17,44,0.09573024584104249
216,mae,4.0,sqrt,0.55,35,82,0.09717304942756909
217,mae,,auto,0.19,57,20,0.09727866543344009
218,mae,2.0,auto,0.69,25,31,0.09528382088460488
219,mae,4.0,sqrt,0.28,71,33,0.09543803511428962
220,mae,1.0,sqrt,0.57,21,20,0.0970983031444728
221,mae,2.0,auto,0.41,61,36,0.09641952216299036
222,mae,,sqrt,0.5,80,76,0.09656144239272164
223,mae,3.0,sqrt,0.99,62,72,0.09668361375403785
224,mae,2.0,auto,0.99,34,34,0.09634026775426074
225,mse,4.0,log2,0.94,77,74,0.09546954504738349
226,mae,1.0,sqrt,0.74,18,68,0.0973351257299391
227,mae,3.0,sqrt,0.29,15,18,0.09631009478426072
228,mse,,sqrt,0.2,95,47,0.096670271101206
229,mae,1.0,auto,0.59,68,72,0.09698655758822737
230,mae,2.0,auto,0.91,23,88,0.09655154677125459
231,mae,,sqrt,0.93,98,74,0.09682558751705225
232,mae,,log2,0.9,35,46,0.09760513022284094
233,mse,2.0,log2,0.54,24,34,0.09772600825706516
234,mae,2.0,sqrt,0.18,71,61,0.09722241911859367
235,mse,2.0,log2,0.9,45,80,0.09544874358771598
236,mae,2.0,auto,0.69,38,67,0.09668742717977435
237,mae,4.0,auto,0.94,51,88,0.09496154936967853
238,mse,1.0,log2,0.84,81,94,0.09643914742833926
239,mae,4.0,log2,0.27,31,22,0.09731965747581932
240,mse,4.0,log2,0.31,71,75,0.09747871120331159
241,mae,3.0,auto,0.72,49,51,0.09682348835572756
242,mae,4.0,auto,0.11,25,72,0.09697228561019969
243,mae,1.0,auto,0.4,60,22,0.09656798399142634
244,mae,2.0,sqrt,0.66,83,96,0.09640225963904886
245,mae,,auto,0.57,73,96,0.09533040815757746
246,mae,4.0,log2,0.11,37,87,0.0966167060836271
247,mse,,log2,0.43,26,24,0.09609575694999997
248,mae,2.0,auto,0.27,48,67,0.09532541719488799
249,mae,2.0,auto,0.18,31,58,0.0966463203767178
250,mae,,auto,0.72,13,94,0.09579365042495977
251,mae,,log2,0.15,33,81,0.09510219793332503
252,mse,2.0,log2,0.68,97,21,0.0951119940602721
253,mse,1.0,auto,0.46,37,65,0.0952983378819135
254,mae,,auto,0.28,41,89,0.0970215283675497
255,mse,,sqrt,0.54,77,44,0.09633078731482865
256,mse,4.0,log2,0.78,34,79,0.09439533513655263
257,mae,4.0,auto,0.19,53,15,0.09486021482296188
258,mse,3.0,sqrt,0.88,36,53,0.09571383736320244
259,mse,4.0,auto,0.86,85,16,0.09540093671887166
260,mae,3.0,sqrt,0.65,54,97,0.09531122344734926
261,mae,,sqrt,0.77,21,80,0.09788496590324959
262,mse,,sqrt,0.22,19,47,0.09714287548675447
263,mse,3.0,sqrt,0.47,30,31,0.09477889069973881
264,mse,1.0,auto,0.28,51,37,0.09499527601007815
265,mse,4.0,auto,0.87,21,73,0.09593646314602106
266,mae,4.0,auto,0.54,89,80,0.09712266888031025
267,mae,4.0,log2,0.76,19,80,0.09503923113145553
268,mse,4.0,sqrt,0.73,45,38,0.09745379308760953
269,mse,4.0,sqrt,0.49,95,56,0.09467501413927723
270,mse,,sqrt,0.32,36,43,0.09623456031375596
271,mse,2.0,log2,0.97,46,50,0.09699608389016934
272,mae,,log2,0.11,37,18,0.09575319315338451
273,mse,1.0,log2,0.52,75,14,0.0957380777954541
274,mse,3.0,log2,0.22,76,34,0.09676684422461612
275,mae,3.0,sqrt,0.59,45,43,0.09741952010049283
276,mse,1.0,log2,0.65,11,41,0.09747782434378835
277,mse,4.0,log2,0.94,24,41,0.09519302223960008
278,mae,2.0,log2,0.54,38,93,0.09611897753800407
279,mae,1.0,auto,0.31,73,53,0.09629742538070353
280,mse,,sqrt,0.26,16,11,0.09584153329546832
281,mae,3.0,sqrt,0.11,39,11,0.09670174288056547
282,mse,2.0,sqrt,0.71,61,61,0.0963973781272639
283,mae,3.0,auto,0.34,33,81,0.09674094803524651
284,mae,1.0,sqrt,0.66,13,15,0.09627236835526758
285,mse,2.0,log2,0.99,21,21,0.09479859719560478
286,mae,1.0,sqrt,0.51,37,29,0.096659514286592
287,mse,,sqrt,0.34,36,53,0.09685356504961005
288,mse,,auto,0.68,60,67,0.09663177006614164
289,mse,2.0,auto,0.28,70,50,0.09436548064282205
290,mse,2.0,auto,0.41,69,73,0.09619716830185673
291,mae,3.0,auto,0.21,51,70,0.09586551318557043
292,mae,1.0,auto,0.44,91,10,0.096865506306986
293,mse,4.0,sqrt,0.54,85,44,0.09653562630569751
294,mae,4.0,log2,0.41,18,71,0.09672115042572157
295,mae,4.0,auto,0.32,72,26,0.09521056685026111
296,mae,2.0,sqrt,0.56,69,14,0.09779775271291054
297,mse,2.0,log2,0.34,39,22,0.09598889408254305
298,mae,3.0,log2,0.85,15,86,0.09660660722438184
299,mae,3.0,log2,0.48,50,39,0.09731549907667685
300,mse,4.0,log2,0.28,88,82,0.09504202316648978
301,mse,1.0,sqrt,0.57,76,52,0.09582156240182858
302,mae,3.0,sqrt,0.83,77,99,0.09674503840289743
303,mse,4.0,log2,0.91,53,34,0.09760489125352273
304,mae,2.0,sqrt,0.32,22,27,0.09567807067873585
305,mae,4.0,sqrt,0.25,64,61,0.09557770728520101
306,mse,4.0,sqrt,0.24,26,90,0.09577373793434425
307,mae,2.0,sqrt,0.61,54,77,0.097628526786933
308,mae,1.0,auto,0.52,60,83,0.09724810840465423
309,mse,3.0,auto,0.28,45,15,0.09595362584418256
310,mse,,auto,0.49,18,21,0.09624548943879642
311,mae,3.0,sqrt,0.85,76,10,0.09665135892711467
312,mse,,log2,0.12,94,85,0.09522717806275073
313,mae,,auto,0.22,22,15,0.09789194916943379
314,mae,2.0,auto,0.85,70,74,0.09698553869734199
315,mae,3.0,sqrt,0.55,85,31,0.09554659826773765
316,mse,1.0,log2,0.82,20,61,0.09633297388347654
317,mse,3.0,auto,0.16,96,46,0.09684105865742207
318,mae,2.0,auto,0.64,91,10,0.0966177559870398
319,mae,2.0,log2,0.19,39,81,0.09606750506037773
320,mse,1.0,log2,0.54,41,76,0.09705358321537097
321,mae,1.0,log2,0.46,71,45,0.09708705408969841
322,mse,2.0,log2,0.7,14,84,0.09493483221149858
323,mse,4.0,auto,0.94,41,89,0.0960202037183203
324,mae,1.0,auto,0.26,25,97,0.09646723129578916
325,mse,4.0,log2,0.24,60,14,0.09647526009250681
326,mae,4.0,auto,0.51,26,55,0.09639438602539127
327,mse,4.0,auto,0.75,99,36,0.09702045219878604
328,mse,2.0,log2,0.45,97,21,0.0956644811310709
329,mae,,auto,0.83,97,93,0.09620507687656721
330,mse,2.0,sqrt,0.3,41,87,0.09745416026751147
331,mse,,log2,0.77,70,50,0.09630969064585586
332,mae,2.0,log2,0.37,20,51,0.09684438745502302
333,mae,4.0,auto,0.49,55,76,0.0967818404312868
334,mae,2.0,log2,0.91,90,30,0.09671832334494412
335,mae,4.0,auto,0.43,53,41,0.09625485461950645
336,mse,2.0,sqrt,0.41,62,70,0.09702355434991337
337,mse,1.0,sqrt,0.86,49,99,0.09569586679763815
338,mse,3.0,log2,0.79,25,82,0.09604864527730039
339,mse,3.0,auto,0.12,38,76,0.09570389577467259
340,mse,3.0,log2,0.55,42,71,0.09735693149140863
341,mse,4.0,auto,0.49,89,52,0.09687736765237134
342,mae,,sqrt,0.47,97,59,0.09651024523834702
343,mse,2.0,log2,0.58,65,62,0.09676216098593994
344,mse,3.0,auto,0.81,22,96,0.09494078990566492
345,mae,,sqrt,0.32,63,73,0.09618049457218109
346,mse,4.0,log2,0.4,24,42,0.09578598300410543
347,mse,4.0,auto,0.18,30,71,0.09656297095263638
348,mse,1.0,sqrt,0.96,25,62,0.0974546531319979
349,mae,3.0,log2,0.55,29,49,0.09545434046274098
350,mse,,log2,0.32,30,61,0.09667324561036156
351,mse,,log2,0.98,61,64,0.09577054895008526
352,mse,,sqrt,0.21,77,15,0.09537983695251853
353,mae,1.0,auto,0.73,24,13,0.09666333804934801
354,mae,1.0,sqrt,0.13,61,61,0.09661924640018445
355,mae,3.0,sqrt,0.97,71,69,0.09596351065445764
356,mae,1.0,sqrt,0.84,69,92,0.09674727293431035
357,mse,3.0,sqrt,0.47,15,68,0.09601078070107913
358,mae,3.0,sqrt,0.88,85,19,0.09649031852892037
359,mae,,auto,0.63,15,39,0.09567682301754799
360,mse,2.0,auto,0.65,62,44,0.09677579961806387
361,mse,3.0,log2,0.22,47,71,0.09680294713254517
362,mse,2.0,log2,0.13,81,44,0.09593613992330226
363,mae,,auto,0.13,24,99,0.09655347893928119
364,mse,,sqrt,0.77,32,93,0.09548258895492519
365,mse,4.0,sqrt,0.67,77,41,0.09562577439142256
366,mae,3.0,log2,0.53,40,99,0.09617435530170922
367,mse,3.0,sqrt,0.65,99,26,0.09642509774265859
368,mae,1.0,log2,0.44,94,26,0.0941518802228978
369,mse,4.0,log2,0.66,12,98,0.0971446590449302
370,mae,2.0,sqrt,0.16,76,88,0.0968670241568587
371,mse,3.0,log2,0.25,83,24,0.09653103937705206
372,mae,3.0,sqrt,0.94,52,61,0.0969348017949788
373,mse,3.0,auto,0.47,35,72,0.095735328332503
374,mae,1.0,auto,0.91,93,16,0.09701861525989278
375,mae,,auto,0.23,35,68,0.09794831287103545
376,mae,1.0,auto,0.85,71,14,0.09661001547480173
377,mae,3.0,sqrt,0.66,58,71,0.09633129619017036
378,mae,4.0,auto,0.11,43,58,0.09500225258405724
379,mae,4.0,sqrt,0.57,83,43,0.09680965559921172
380,mse,,auto,0.36,78,30,0.09553961585347365
381,mse,3.0,log2,0.65,66,44,0.09559382861396679
382,mse,1.0,auto,0.49,60,59,0.0962882870083775
383,mse,2.0,log2,0.42,71,10,0.09748115113506287
384,mae,1.0,sqrt,0.36,79,40,0.09697190049336865
385,mae,3.0,sqrt,0.75,54,57,0.0961932346713045
386,mae,2.0,auto,0.38,15,45,0.09653944735242274
387,mse,1.0,log2,0.69,67,80,0.09533928863995525
388,mae,2.0,auto,0.13,79,26,0.09593650210451536
389,mae,1.0,log2,0.46,43,63,0.09625635952691955
390,mae,,log2,0.46,70,47,0.09465751807615394
391,mae,2.0,sqrt,0.4,65,55,0.09625926795201568
392,mae,2.0,auto,0.59,72,98,0.09700005829550042
393,mse,4.0,log2,0.78,48,69,0.0966675439457741
394,mae,4.0,auto,0.62,74,26,0.09722426801720987
395,mse,,log2,0.21,10,14,0.09547415157852952
396,mse,2.0,log2,0.8,89,58,0.09662308398836346
397,mae,,log2,0.23,27,70,0.09719197490389132
398,mse,2.0,auto,0.52,50,47,0.09503678698752403
399,mae,,sqrt,0.14,94,47,0.09680199446176276
400,mse,1.0,sqrt,0.22,71,21,0.09568950179255109
401,mae,,auto,0.96,38,83,0.09653387329755338
402,mae,4.0,sqrt,0.76,36,15,0.09627916318080908
403,mse,,log2,0.98,35,22,0.09515118272591477
404,mae,2.0,sqrt,0.74,49,38,0.09654420766889532
405,mse,3.0,log2,0.92,88,10,0.09607179536434551
406,mse,4.0,log2,0.52,51,32,0.09494217250039223
407,mse,,log2,0.83,12,79,0.09538026456384943
408,mse,,log2,0.24,55,34,0.09591084228838252
409,mse,2.0,auto,0.69,37,14,0.09605123659937526
410,mae,2.0,auto,0.15,12,13,0.09575516979222227
411,mae,4.0,log2,0.19,98,96,0.0968291064695095
412,mae,3.0,sqrt,0.41,28,65,0.09686115038488385
413,mae,3.0,log2,0.95,69,17,0.09655769701299838
414,mae,2.0,auto,0.71,54,61,0.09609601845247326
415,mse,3.0,sqrt,0.59,69,73,0.09527504422112452
416,mse,1.0,log2,0.61,51,66,0.09600326142183728
417,mse,1.0,log2,0.52,40,75,0.09656258194983994
418,mae,4.0,auto,0.46,27,53,0.09727747010372924
419,mae,2.0,sqrt,0.13,81,92,0.09526373942758093
420,mse,,auto,0.13,41,42,0.09644034602635906
421,mse,1.0,auto,0.56,82,95,0.09429247713899892
422,mae,,sqrt,0.67,21,50,0.09748743572112807
423,mse,1.0,auto,0.39,27,92,0.09680372297888784
424,mae,3.0,auto,0.61,97,65,0.09689485940680709
425,mae,1.0,auto,0.24,35,99,0.09487406296808913
426,mse,,log2,0.59,60,73,0.09658401473302515
427,mae,3.0,auto,0.26,35,98,0.09590209412336502
428,mae,,sqrt,0.15,51,65,0.09697215819702129
429,mae,2.0,log2,0.95,95,90,0.09670452477467266
430,mae,3.0,log2,0.96,60,89,0.09586993216717386
431,mse,4.0,auto,0.96,41,41,0.09635972804175752
432,mse,,log2,0.81,40,96,0.09560026691796221
433,mae,4.0,sqrt,0.84,17,92,0.0959624399545791
434,mse,4.0,sqrt,0.73,73,90,0.09689016824125234
435,mse,,auto,0.55,40,16,0.09641857606005903
436,mse,4.0,sqrt,0.9,15,34,0.09558233023112883
437,mae,,sqrt,0.78,30,56,0.09611688675650844
438,mae,2.0,sqrt,0.21,11,12,0.09672753782458862
439,mae,,sqrt,0.55,14,59,0.0954190052155764
440,mae,,sqrt,0.45,93,73,0.09635294970199332
441,mse,,sqrt,0.45,54,36,0.09535905416015494
442,mse,1.0,log2,0.85,79,17,0.09719472550990255
443,mae,4.0,log2,0.19,22,81,0.09684079532366803
444,mae,,auto,0.47,77,22,0.09744440908399152
445,mae,4.0,auto,0.89,24,99,0.09551550903114031
446,mse,4.0,auto,0.36,49,63,0.09597662392777259
447,mae,1.0,log2,0.8,12,72,0.09538000487656728
448,mae,2.0,log2,0.12,51,76,0.09595165704466051
449,mae,1.0,log2,0.7,15,18,0.09573157913360136
450,mse,3.0,sqrt,0.21,82,64,0.09716915759533915
451,mae,4.0,log2,0.61,79,56,0.09589054371740932
452,mse,,sqrt,0.89,68,18,0.09575380786385808
453,mse,2.0,log2,0.41,20,84,0.09603210375704409
454,mae,2.0,auto,0.4,67,89,0.09715603104258673
455,mse,4.0,auto,0.2,57,19,0.09543718888492658
456,mae,2.0,auto,0.97,73,42,0.09804657736724716
457,mse,1.0,auto,0.14,81,73,0.09591819885980676
458,mae,3.0,log2,0.2,59,54,0.0971307187911273
459,mse,1.0,sqrt,0.66,54,47,0.09626348722891188
460,mse,,auto,0.11,39,82,0.09728003514858977
461,mse,1.0,auto,0.62,30,47,0.09670822290570663
462,mse,2.0,log2,0.91,12,35,0.09586571777789027
463,mae,4.0,sqrt,0.18,69,43,0.09623658592797031
464,mae,3.0,sqrt,0.83,37,57,0.09618395651776034
465,mae,1.0,auto,0.25,16,67,0.09618055709450384
466,mse,1.0,sqrt,0.9,55,62,0.09462092905424375
467,mse,1.0,sqrt,0.47,95,98,0.09622617283488645
468,mae,2.0,log2,0.88,26,37,0.0976975401113948
469,mse,4.0,auto,0.74,40,47,0.09665942419004131
470,mse,2.0,sqrt,0.31,42,39,0.09531090967886711
471,mse,2.0,auto,0.48,96,94,0.09635953365792135
472,mae,3.0,sqrt,0.1,88,91,0.0978259990951718
473,mse,4.0,sqrt,0.71,31,37,0.09627457041698323
474,mse,3.0,log2,0.44,96,62,0.09509985914207997
475,mse,4.0,auto,0.71,29,64,0.09689992770139799
476,mse,2.0,auto,0.7,23,80,0.09598954833071366
477,mae,,log2,0.73,91,19,0.09685316904175495
