,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
461,mse,71.0,0.38,0.76,245,33,0.09604740887185272
462,mse,57.0,0.79,0.8,69,27,0.09560929833045773
463,mse,66.0,0.49,0.73,488,38,0.09516736346829321
464,mae,44.0,0.54,0.82,94,75,0.09725861357106297
465,mae,2.0,0.75,0.44,844,59,0.09603764692841284
466,mse,5.0,0.2,0.59,697,87,0.09564078319232958
467,mse,11.0,0.79,0.95,741,63,0.09578679002373232
468,mae,28.0,0.17,0.4,245,48,0.09773053018514136
469,mae,9.0,0.75,0.43,306,88,0.09581267450266727
470,mae,12.0,0.5,0.51,412,27,0.09652801779584841
471,mse,9.0,0.19,0.45,280,73,0.09611438825082265
472,mae,8.0,0.99,0.9,211,90,0.0942503936213469
473,mse,20.0,0.91,0.12,535,73,0.09628265218627577
474,mse,31.0,0.23,0.1,761,62,0.09565633659423355
475,mae,58.0,0.94,0.91,336,84,0.09693435579398309
476,mse,47.0,0.81,0.91,836,22,0.09669839655090058
477,mse,76.0,0.27,0.52,319,86,0.09490324266120463
478,mae,33.0,0.44,0.94,11,50,0.0954844948694666
479,mae,19.0,0.34,0.62,274,19,0.0967868509156543
480,mae,70.0,0.29,0.43,589,76,0.0956756530737576
481,mae,34.0,0.99,0.16,71,61,0.09810829022499386
482,mae,86.0,0.53,0.99,629,68,0.09617985658096896
483,mse,44.0,0.72,0.99,802,64,0.0972080941965613
484,mse,44.0,0.28,0.67,555,45,0.09843029927508366
485,mae,52.0,0.8,0.1,380,23,0.09622521227793496
486,mae,35.0,0.76,0.5,749,61,0.09615601531056597
487,mse,39.0,0.69,0.46,631,95,0.09563474300106337
488,mse,36.0,0.19,0.69,882,50,0.09578624152975686
489,mae,89.0,0.52,0.95,781,31,0.09609265076849526
490,mse,20.0,0.74,0.67,774,48,0.0949680477379408
491,mae,85.0,0.87,0.42,147,54,0.09582166409386839
492,mse,60.0,0.53,0.76,104,64,0.09602532801404425
493,mae,74.0,0.42,0.9,65,21,0.09686158888375165
494,mae,91.0,0.8,0.45,232,97,0.09556552972934987
495,mse,16.0,0.6,0.37,543,80,0.09522988259332922
496,mse,27.0,0.19,0.3,2,38,0.0954831903053898
497,mse,,0.24,0.94,852,14,0.09574037028008422
498,mse,26.0,0.36,0.17,656,15,0.09541649518521067
499,mae,37.0,0.73,0.49,869,73,0.0966249146725992
500,mae,68.0,0.76,0.88,357,40,0.09756337352829499
501,mae,81.0,0.3,0.86,354,34,0.0971964401107569
502,mse,62.0,0.5,0.91,140,26,0.09732080872847257
503,mae,51.0,0.21,0.6,241,25,0.09710870678691744
504,mse,54.0,0.92,0.74,721,70,0.09462131150916629
505,mae,74.0,0.15,0.39,722,39,0.0957861534360574
506,mae,81.0,0.35,0.74,746,12,0.09638089236002331
507,mae,91.0,0.32,0.97,4,93,0.09758513438626866
508,mae,59.0,0.72,0.14,121,11,0.09760105069951612
509,mse,8.0,0.61,0.8,51,50,0.09700448246376166
510,mae,57.0,0.45,0.91,519,46,0.09594280654729237
511,mse,47.0,0.18,0.16,247,94,0.09717207691874469
512,mse,13.0,0.92,0.64,616,47,0.09500834429195547
513,mse,63.0,0.21,0.48,855,86,0.09444163822973287
514,mse,74.0,0.57,0.52,649,54,0.09563197441771364
515,mae,12.0,0.52,0.94,364,35,0.09693877956391767
516,mae,,0.54,0.26,128,91,0.09615426488183097
517,mae,78.0,0.52,0.84,431,60,0.09575670328563972
518,mse,55.0,0.87,0.66,819,46,0.09623339407173032
519,mae,5.0,0.13,0.23,136,97,0.09752101231721223
520,mse,84.0,0.11,0.36,816,70,0.09596157630116872
521,mse,63.0,0.68,0.43,286,70,0.09696681702501353
522,mae,73.0,0.84,0.59,639,63,0.09815816268517161
523,mae,89.0,0.48,0.29,30,34,0.09575085690388502
524,mae,90.0,0.68,0.59,196,23,0.09622837694980779
525,mse,74.0,0.26,0.88,311,92,0.09550661359981494
526,mae,5.0,0.7,0.7,158,60,0.09678768393044264
527,mae,41.0,0.53,0.53,168,29,0.09623734122003526
528,mae,49.0,0.92,0.72,135,81,0.09599807685721386
529,mse,3.0,0.53,0.89,611,16,0.09600634325252663
530,mae,98.0,0.1,0.62,833,86,0.09575798711432384
531,mae,88.0,0.41,0.92,741,78,0.09547478109958717
532,mse,61.0,0.76,0.99,608,63,0.09529667320164183
533,mse,8.0,0.83,0.21,66,46,0.0955056519467055
534,mse,81.0,0.58,0.16,276,18,0.09664782683178658
535,mae,62.0,0.1,0.25,407,37,0.09587554347608593
536,mae,38.0,0.47,0.79,679,10,0.09678668203187382
537,mae,46.0,0.94,0.56,577,90,0.09563257404142078
538,mse,58.0,0.99,0.33,218,18,0.09534870472036017
539,mae,15.0,0.81,0.67,350,68,0.09646574858647697
540,mae,82.0,0.47,0.96,899,77,0.0967133246342644
541,mae,20.0,0.16,0.33,248,65,0.09686092411467694
542,mse,1.0,0.34,0.42,228,65,0.09545415665679566
543,mae,1.0,0.43,0.24,415,24,0.09453551892404503
544,mae,75.0,0.98,0.38,680,14,0.0963845424914854
545,mae,75.0,0.52,0.53,150,84,0.09593147597430086
546,mae,25.0,0.57,0.72,828,47,0.0964348881135201
547,mae,4.0,0.96,0.7,153,26,0.09579796991901769
548,mse,19.0,0.87,0.15,124,88,0.09558733627218485
549,mse,93.0,0.23,0.62,22,44,0.09606014487909008
550,mse,78.0,0.4,0.68,145,69,0.0954557498770324
551,mae,75.0,0.4,0.49,762,98,0.0963674905690831
552,mse,21.0,0.51,0.77,557,11,0.09722438027645999
553,mse,13.0,0.91,0.95,416,35,0.09664402081580024
554,mae,58.0,0.33,0.33,523,80,0.09723846535172842
555,mse,34.0,0.46,0.73,104,63,0.09551178033629676
556,mae,88.0,0.3,0.48,62,84,0.09568115093727388
557,mae,25.0,0.11,0.32,712,49,0.09528679690400003
558,mse,59.0,0.1,0.5,282,26,0.09638471269036189
559,mse,20.0,0.13,0.81,714,94,0.09676896152419312
560,mae,66.0,0.12,0.58,612,65,0.09658456140392327
561,mse,6.0,0.41,0.66,562,12,0.09518747516675127
562,mse,68.0,0.75,0.19,862,14,0.09640430606371772
563,mse,13.0,0.37,0.6,608,30,0.09456217455103472
564,mae,21.0,0.3,0.82,332,10,0.09558905270713772
565,mse,8.0,0.39,0.63,607,53,0.0969094079165768
566,mse,55.0,0.6,0.18,338,87,0.0970077378554946
567,mae,4.0,0.41,0.46,462,94,0.0976779305179597
568,mae,25.0,0.91,0.54,758,35,0.09698766679584796
569,mse,39.0,0.14,0.27,76,56,0.09502118534722483
570,mse,2.0,0.42,0.73,299,64,0.09597925869285627
571,mse,22.0,0.7,0.48,48,46,0.09619762182248752
572,mae,68.0,0.7,0.8,515,89,0.09604028272012896
573,mse,71.0,0.54,0.57,195,86,0.0944839682602877
574,mse,33.0,0.94,0.42,479,15,0.09696677057712208
575,mae,89.0,0.51,0.41,629,19,0.09660345281005471
576,mse,13.0,0.24,0.47,393,96,0.09499921729529594
577,mae,96.0,0.86,0.37,646,33,0.09595276946146927
578,mse,92.0,0.98,0.62,853,64,0.0935324331652345
579,mae,11.0,0.97,0.71,335,45,0.09635849652803942
580,mse,11.0,0.63,0.91,644,18,0.09644008258637499
581,mae,93.0,0.23,0.12,599,66,0.09711831376286369
582,mse,84.0,0.1,0.11,645,56,0.09619292916093405
583,mse,82.0,0.71,0.83,759,32,0.09654392208971198
584,mse,35.0,0.11,0.91,627,84,0.09587861953572047
585,mae,99.0,0.25,0.21,97,76,0.09590589648279163
586,mae,58.0,0.47,0.43,439,25,0.09696934569157785
587,mse,48.0,0.26,0.63,617,92,0.0946628996909532
588,mae,75.0,0.67,0.59,193,56,0.0957705362221243
589,mae,63.0,0.78,0.86,79,72,0.09814541067534033
590,mae,61.0,0.67,0.56,321,46,0.09544300880252861
591,mae,6.0,0.4,0.89,716,61,0.09647635271830345
592,mse,33.0,0.43,0.19,95,33,0.09649536354200393
593,mse,45.0,0.96,0.78,465,33,0.09607247158365541
594,mse,10.0,0.5,0.21,64,74,0.09565564311270663
595,mae,88.0,0.62,0.51,225,49,0.0957153706507104
596,mae,51.0,0.15,0.15,713,83,0.09503445979300953
597,mae,56.0,0.14,0.28,75,64,0.09620138886508232
