,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
105,mse,22.0,0.69,0.98,638,23,0.0947816724972821
106,mse,94.0,0.38,0.69,498,45,0.09517010645122785
107,mse,,0.32,0.25,72,46,0.0960214396154998
108,mae,6.0,0.77,0.29,627,81,0.09417343358857078
109,mae,23.0,0.4,0.16,823,58,0.09652583217024396
110,mse,63.0,0.18,0.21,380,89,0.09642448975948054
111,mae,94.0,0.23,0.3,742,61,0.09813669420281003
112,mae,36.0,0.37,0.18,383,96,0.09608273360875715
113,mse,7.0,0.65,0.42,623,46,0.09343840360681115
114,mae,6.0,0.39,0.49,734,75,0.09601088648201542
115,mae,8.0,0.9,0.97,115,29,0.0971020348599976
116,mae,41.0,0.62,0.96,555,66,0.09521631360324617
117,mse,37.0,0.34,0.44,775,74,0.09552149107156907
118,mse,14.0,0.77,0.94,434,39,0.09709919667568115
119,mae,34.0,0.73,0.19,472,91,0.09666027124131278
120,mse,48.0,0.78,0.48,43,10,0.0968678429412322
121,mse,97.0,0.55,0.62,551,93,0.09589352805492678
122,mse,18.0,0.48,0.27,66,63,0.09565602847490821
123,mse,16.0,0.58,0.16,899,90,0.09773232858429727
124,mse,17.0,0.81,0.32,281,41,0.0958913869952485
125,mae,35.0,0.63,0.54,793,44,0.09650493290260942
126,mse,77.0,0.7,0.63,398,30,0.09625459004647034
127,mse,80.0,0.31,0.91,57,25,0.09697928545919798
128,mse,56.0,0.75,0.85,251,55,0.09636418292282702
129,mse,93.0,0.89,0.82,145,89,0.0952869491451949
130,mse,94.0,0.25,0.27,834,94,0.0973246761372419
131,mse,41.0,0.41,0.18,68,34,0.0960888531106912
132,mae,4.0,0.42,0.26,742,70,0.09693663908075022
133,mse,45.0,0.79,0.95,674,51,0.09565623699302496
134,mae,33.0,0.88,0.64,717,66,0.09552069923439274
135,mae,27.0,0.87,0.97,157,23,0.09672649405330705
136,mse,89.0,0.53,0.47,812,92,0.09571447680308946
137,mse,46.0,0.31,0.57,89,59,0.09654679988417504
138,mse,21.0,0.39,0.71,813,76,0.09534479343992294
139,mse,21.0,0.62,0.79,342,26,0.09617041742129635
140,mae,70.0,0.77,0.63,771,72,0.09590774218147435
141,mse,69.0,0.75,0.71,529,31,0.09569916896843012
142,mae,87.0,0.89,0.95,569,61,0.09645089077825378
143,mse,85.0,0.9,0.68,336,25,0.09502809927460917
144,mse,89.0,0.26,0.28,560,12,0.09651542462111655
145,mse,3.0,0.54,0.11,801,53,0.09541888219626005
146,mse,96.0,0.71,0.1,619,48,0.09696528810353065
147,mae,68.0,0.41,0.41,237,29,0.09527669976009048
148,mae,50.0,0.68,0.86,226,60,0.09562813621035217
149,mae,67.0,0.51,0.63,222,44,0.0961088573035741
150,mse,68.0,0.23,0.98,877,22,0.09674430356202537
151,mae,99.0,0.26,0.41,655,82,0.09447125521689742
152,mse,9.0,0.95,0.77,804,41,0.09753162778799687
153,mae,26.0,0.88,0.99,654,42,0.0960701142006543
154,mse,57.0,0.69,0.86,880,67,0.09654768623068799
155,mse,50.0,0.84,0.38,790,74,0.09703337723075058
156,mse,59.0,0.21,0.54,547,21,0.0957068200460608
157,mse,82.0,0.39,0.72,863,50,0.09664140125737705
158,mae,34.0,0.93,0.34,509,12,0.09716035408669918
159,mse,86.0,0.32,0.98,515,17,0.09542947553046736
160,mse,77.0,0.57,0.62,360,40,0.0957445054553867
161,mae,46.0,0.59,0.38,93,91,0.09601799762780883
162,mse,3.0,0.52,0.87,803,51,0.0973554068951516
163,mae,39.0,0.98,0.33,34,68,0.09603551726783398
164,mae,,0.18,0.26,702,33,0.09627553460975903
165,mae,37.0,0.25,0.56,836,98,0.09649260351729472
166,mse,77.0,0.8,0.66,450,39,0.09596479968997007
167,mse,97.0,0.33,0.97,221,56,0.09599148726989282
168,mae,14.0,0.3,0.4,297,11,0.09783430649568615
169,mae,40.0,0.31,0.8,309,38,0.09656769463654122
170,mse,82.0,0.47,0.83,132,89,0.09635198121699812
171,mse,17.0,0.89,0.74,620,74,0.09604808487049322
172,mse,13.0,0.34,0.5,381,44,0.09659381817600403
173,mae,38.0,0.36,0.18,485,78,0.09762180756368588
174,mae,12.0,0.68,0.27,590,87,0.09647574154200386
175,mse,52.0,0.34,0.74,304,62,0.09491878331843476
176,mae,64.0,0.87,0.93,790,39,0.0948148380485251
177,mae,35.0,0.65,0.88,15,32,0.09553048218186745
178,mse,40.0,0.68,0.39,508,57,0.09694524485794656
179,mae,31.0,0.47,0.8,743,75,0.09485401818396968
180,mae,39.0,0.18,0.59,496,44,0.09536374853579035
181,mae,89.0,0.62,0.15,879,85,0.09700602463320365
182,mae,70.0,0.95,0.21,893,16,0.09710306389130537
183,mse,81.0,0.15,0.51,444,51,0.0960022720281921
184,mae,67.0,0.58,0.79,251,30,0.09641990687648813
185,mse,35.0,0.76,0.44,411,53,0.0960125317078832
186,mse,22.0,0.81,0.12,851,59,0.0955267526646099
187,mse,72.0,0.38,0.36,9,67,0.09569775634844135
188,mse,28.0,0.78,0.65,790,29,0.0947486031782259
189,mae,15.0,0.68,0.66,100,45,0.09767863197096832
190,mse,,0.13,0.62,482,87,0.09596539597711957
191,mse,7.0,0.5,0.9,251,75,0.09558745829475519
192,mse,3.0,0.14,0.85,399,27,0.09512748425338927
193,mae,89.0,0.59,0.21,898,23,0.09612640234652339
194,mse,6.0,0.49,0.6,663,51,0.09598031116122925
195,mae,78.0,0.97,0.7,714,59,0.09748919722312617
196,mse,76.0,0.68,0.83,800,94,0.09631468281022565
197,mae,21.0,0.55,0.49,103,51,0.09591861808988712
198,mse,69.0,0.77,0.86,840,39,0.09552438813540057
